"state","abbreviation","region","zip","latitude","longitude"
"Massachusetts","MA","Northeast","01266",42.312354,-73.388044
"Massachusetts","MA","Northeast","01267",42.671617,-73.246981
"Massachusetts","MA","Northeast","01270",42.515272,-73.031166
"Massachusetts","MA","Northeast","01301",42.626761,-72.60153
"Massachusetts","MA","Northeast","01330",42.513947,-72.821517
"Massachusetts","MA","Northeast","01331",42.562408,-72.19108
"Massachusetts","MA","Northeast","01337",42.689307,-72.582249
"Massachusetts","MA","Northeast","01338",42.572604,-72.824306
"Massachusetts","MA","Northeast","01339",42.603776,-72.889644
"Massachusetts","MA","Northeast","01340",42.694731,-72.710956
"Massachusetts","MA","Northeast","01341",42.496937,-72.709414
"Massachusetts","MA","Northeast","01342",42.543889,-72.609458
"Massachusetts","MA","Northeast","01343",42.657625,-72.978933
"Massachusetts","MA","Northeast","01344",42.613418,-72.426427
"Massachusetts","MA","Northeast","01346",42.693275,-72.823113
"Massachusetts","MA","Northeast","01347",42.559294,-72.518753
"Massachusetts","MA","Northeast","01349",42.563061,-72.482122
"Massachusetts","MA","Northeast","01350",42.727772,-72.985346
"Massachusetts","MA","Northeast","01351",42.53988,-72.521689
"Massachusetts","MA","Northeast","01354",42.624076,-72.508643
"Massachusetts","MA","Northeast","01355",42.458551,-72.327191
"Massachusetts","MA","Northeast","01360",42.677091,-72.453876
"Massachusetts","MA","Northeast","01364",42.605437,-72.292074
"Massachusetts","MA","Northeast","01366",42.475621,-72.192468
"Massachusetts","MA","Northeast","01367",42.695532,-72.909148
"Massachusetts","MA","Northeast","01368",42.679456,-72.176935
"Massachusetts","MA","Northeast","01370",42.593338,-72.726941
"Massachusetts","MA","Northeast","01373",42.475481,-72.615403
"Massachusetts","MA","Northeast","01375",42.466691,-72.546751
"Massachusetts","MA","Northeast","01376",42.59528,-72.555002
"Massachusetts","MA","Northeast","01378",42.673533,-72.353213
"Massachusetts","MA","Northeast","01379",42.55631,-72.407148
"Massachusetts","MA","Northeast","01420",42.584925,-71.816862
"Massachusetts","MA","Northeast","01430",42.657005,-71.923442
"Massachusetts","MA","Northeast","01431",42.676293,-71.832523
"Massachusetts","MA","Northeast","01432",42.566573,-71.575135
"Massachusetts","MA","Northeast","01434",42.538903,-71.612027
"Massachusetts","MA","Northeast","01436",42.602059,-72.087015
