"name","gender","count"
"jillian","F",79900
"kristine","F",79502
"maya","F",79458
"jodi","F",79023
"clara","F",78716
"eleanor","F",78678
"jackie","F",78373
"sheryl","F",77497
"hope","F",76731
"kristi","F",76156
"rachael","F",75797
"gabriela","F",75558
"monique","F",75554
"marjorie","F",75317
"jade","F",75095
"nora","F",75051
"lynda","F",74815
"kay","F",74805
"aaliyah","F",74650
"arlene","F",74609
"kelli","F",74536
"krystal","F",73304
"casey","F",72915
"krista","F",72610
"patsy","F",72083
"summer","F",72079
"georgia","F",72068
"madelyn","F",71961
"trinity","F",71385
"rebekah","F",70935
"belinda","F",70522
"june","F",70437
"shelley","F",70193
"kristy","F",70162
"bianca","F",69780
"jacquelyn","F",69402
"nevaeh","F",68748
"layla","F",68203
"dolores","F",68173
"meredith","F",67588
"candice","F",67401
"cecilia","F",67023
"stella","F",66746
"sandy","F",65513
"sophie","F",65413
"cheyenne","F",65325
"zoey","F",64440
"sadie","F",64317
"kate","F",62818
"nichole","F",62680
"mildred","F",62619
"miriam","F",62607
"edith","F",62559
"peyton","F",62324
"ariel","F",61550
"jada","F",61444
"delores","F",60716
"sonya","F",60538
"adrienne","F",60238
"sheri","F",60236
"carly","F",60211
"kennedy","F",58609
"lynne","F",58480
"yvette","F",58255
"kari","F",58176
"sonia","F",58162
"bobbie","F",58027
"elena","F",57664
"isabelle","F",57608
"robyn","F",57189
"maggie","F",57091
"gianna","F",56966
"kaitlin","F",56839
"tabitha","F",56760
"natalia","F",56236
"edna","F",56184
"roxanne","F",56079
"jessie","F",56050
"karina","F",56040
"pauline","F",55442
"camille","F",55203
"genesis","F",55076
"jody","F",54853
"valeria","F",54719
"abby","F",54647
"kendall","F",54509
"elise","F",54479
"gayle","F",53957
"dianna","F",53936
"guadalupe","F",53482
"daniela","F",53481
"mckenzie","F",53326
"marianne","F",53319
"alisha","F",53264
"hazel","F",53118
"cassidy","F",53037
"billie","F",52941
"gracie","F",52572
"skylar","F",52509
"angie","F",52496
"iris","F",52417
"mallory","F",52224
"jan","F",52153
"traci","F",51983
"alana","F",51906
"vicky","F",51896
"aimee","F",51323
"caitlyn","F",51043
"dominique","F",49788
"juliana","F",49520
"jaime","F",49451
"patty","F",49443
"cristina","F",49286
"kellie","F",49282
"camila","F",49242
"kirsten","F",49212
"janelle","F",49168
"harper","F",48859
"alma","F",48843
"mikayla","F",48594
"celeste","F",48507
"lucille","F",48489
"kerry","F",48364
"michaela","F",48232
"maryann","F",48111
"allyson","F",48061
"jaclyn","F",47985
"cara","F",47832
"hayley","F",47514
"violet","F",47480
"jordyn","F",47475
"payton","F",47469
"liliana","F",47205
"alejandra","F",47174
"mya","F",47136
"gladys","F",47095
"shelia","F",47006
"lacey","F",46864
"janie","F",46838
"margie","F",46406
"marisa","F",46398
"raquel","F",46292
"marian","F",45835
"cora","F",45738
"lana","F",45543
"antoinette","F",45488
"latoya","F",45396
"beatrice","F",45159
"ellie","F",45066
"shawna","F",44935
"lee","F",44919
"selena","F",44770
"paulette","F",44590
"kelley","F",44574
"kylee","F",44508
"ramona","F",44498
"christie","F",44480
"tessa","F",44201
"ginger","F",44166
"penelope","F",43928
"bella","F",43857
"teri","F",43752
"marion","F",43337
"kiara","F",43269
"gretchen","F",42978
"reagan","F",42828
"ashlee","F",42775
"serenity","F",42762
"rylee","F",42703
"jana","F",42621
"scarlett","F",42524
"patti","F",42466
"rochelle","F",42328
"esmeralda","F",42311
"thelma","F",42035
"adrianna","F",42012
"bernadette","F",41792
"mindy","F",41573
"janis","F",41356
"lillie","F",41353
"meagan","F",41266
"alexia","F",41233
"doreen","F",41158
"florence","F",41155
"ashlyn","F",40766
"lynette","F",40483
"wilma","F",40392
"bernice","F",40031
"tricia","F",39904
"lilly","F",39732
"darla","F",39720
"shari","F",39681
"betsy","F",39675
"jasmin","F",39653
"bertha","F",39586
"callie","F",39561
"giselle","F",39526
"jazmin","F",39478
"trisha","F",39348
"leigh","F",39310
"ethel","F",39090
"leticia","F",38941
"genevieve","F",38888
"lena","F",38820
"myra","F",38803
"nadia","F",38705
"vera","F",38676
"nikki","F",38660
"ebony","F",38633
"cassie","F",38584
"kristie","F",38187
"annabelle","F",37550
"mandy","F",37401
"elisabeth","F",37364
"johanna","F",37158
"raven","F",37128
"maxine","F",36962
"jeannette","F",36886
"makenzie","F",36886
"lora","F",36879
"serena","F",36861
"kimberley","F",36853
"stacie","F",36845
"alissa","F",36836
"julianna","F",36829
"yesenia","F",36788
"kerri","F",36682
"laurel","F",36607
"stefanie","F",36433
"jennie","F",36431
"ida","F",36156
"mercedes","F",35960
"tami","F",35903
"dora","F",35852
"cheri","F",35744
"jayla","F",35679
"marla","F",35593
"tasha","F",35284
"anastasia","F",35257
"kyla","F",35222
"alaina","F",35153
"tammie","F",35141
"carolina","F",34983
"ivy","F",34886
"josie","F",34720
"sherrie","F",34578
"aurora","F",34572
"elisa","F",34415
"hanna","F",34363
"clarissa","F",34232
"lola","F",34203
"britney","F",34186
"nadine","F",34004
"piper","F",33956
"sonja","F",33791
